,id,header,message,schemaref
0,32_2019-07-01 17:27:40,"{'gatewayTimestamp': '2019-07-01T15:27:38.124061Z', 'softwareName': 'EDDiscovery', 'softwareVersion': '10.6.0.0', 'uploaderID': 'e62e15b9e56a742a826559cd160d8428e9a1bbb8'}","{'Atmosphere': '', 'AtmosphereType': 'None', 'AxialTilt': 0.409669, 'BodyID': 37, 'BodyName': 'Nyeakua AN-L b12-0 B 3 e', 'Composition': {'Ice': 0.824564, 'Metal': 0.015529, 'Rock': 0.159906}, 'DistanceFromArrivalLS': 46679.257813, 'Eccentricity': 0.001562, 'Landable': True, 'MassEM': 0.001944, 'Materials': [{'Name': 'sulphur', 'Percent': 27.583227}, {'Name': 'carbon', 'Percent': 23.194637}, {'Name': 'phosphorus', 'Percent': 14.849607}, {'Name': 'iron', 'Percent': 12.369481}, {'Name': 'nickel', 'Percent': 9.355756}, {'Name': 'chromium', 'Percent': 5.562966}, {'Name': 'zinc', 'Percent': 3.361562}, {'Name': 'zirconium', 'Percent': 1.436352}, {'Name': 'molybdenum', 'Percent': 0.80772}, {'Name': 'tin', 'Percent': 0.739877}, {'Name': 'yttrium', 'Percent': 0.738814}], 'OrbitalInclination': 1.163236, 'OrbitalPeriod': 1154682.0, 'Parents': [{'Planet': 31}, {'Star': 2}, {'Null': 0}], 'Periapsis': 10.046662, 'PlanetClass': 'Icy body', 'Radius': 1099725.25, 'RotationPeriod': 1154741.0, 'ScanType': 'Detailed', 'SemiMajorAxis': 1473296000.0, 'StarPos': [7576.8125, -421.03125, 6876.28125], 'StarSystem': 'Nyeakua AN-L b12-0', 'SurfaceGravity': 0.640699, 'SurfacePressure': 0.0, 'SurfaceTemperature': 45.669163, 'SystemAddress': 772690161769, 'TerraformState': '', 'TidalLock': True, 'Volcanism': '', 'WasDiscovered': False, 'WasMapped': False, 'event': 'Scan', 'timestamp': '2019-07-01T15:27:35Z'}",https://eddn.edcd.io/schemas/journal/1
1,4_2019-07-01 17:27:40,"{'gatewayTimestamp': '2019-07-01T14:11:03.428056Z', 'softwareName': 'EDDI', 'softwareVersion': '3.4.1', 'uploaderID': 'cac9b577a3a90395d45a0c5ba52f31c339eb7d40'}","{'Atmosphere': 'thin carbon dioxide atmosphere', 'AtmosphereComposition': [{'Name': 'CarbonDioxide', 'Percent': 100.0}], 'AtmosphereType': 'CarbonDioxide', 'AxialTilt': -0.414484, 'BodyID': 24, 'BodyName': 'Foerst ZU-C c14-1 3 d', 'Composition': {'Ice': 0.0, 'Metal': 0.089801, 'Rock': 0.910199}, 'DistanceFromArrivalLS': 1154.979126, 'Eccentricity': 0.001925, 'Landable': False, 'MassEM': 0.000364, 'OrbitalInclination': 1.253727, 'OrbitalPeriod': 2251632.0, 'Parents': [{'Planet': 18}, {'Star': 0}], 'Periapsis': 201.033295, 'PlanetClass': 'Rocky body', 'Radius': 503124.0, 'RotationPeriod': 2251642.25, 'ScanType': 'Detailed', 'SemiMajorAxis': 2534670080.0, 'StarPos': [-341.9375, 1935.125, 16179.90625], 'StarSystem': 'Foerst ZU-C c14-1', 'SurfaceGravity': 0.572467, 'SurfacePressure': 636.769043, 'SurfaceTemperature': 159.662598, 'SystemAddress': 358195175290, 'TerraformState': '', 'TidalLock': True, 'Volcanism': '', 'WasDiscovered': False, 'WasMapped': False, 'event': 'Scan', 'timestamp': '2019-07-01T14:11:02Z'}",https://eddn.edcd.io/schemas/journal/1
2,25_2019-07-01 17:27:40,"{'gatewayTimestamp': '2019-07-01T15:13:15.909525Z', 'softwareName': 'EDDiscovery', 'softwareVersion': '10.6.0.0', 'uploaderID': 'bdb199619d93aca785cbd751ae03a08f03355c4f'}","{'BodyID': 8, 'BodyName': 'Pyra Dryiae NB-X c4-0 B Belt Cluster 2', 'DistanceFromArrivalLS': 382.219482, 'Parents': [{'Ring': 6}, {'Star': 0}], 'ScanType': 'AutoScan', 'StarPos': [91.3125, -41.96875, 61859.5], 'StarSystem': 'Pyra Dryiae NB-X c4-0', 'SystemAddress': 83986727722, 'WasDiscovered': True, 'WasMapped': False, 'event': 'Scan', 'timestamp': '2019-07-01T15:12:56Z'}",https://eddn.edcd.io/schemas/journal/1
3,33_2019-07-01 17:27:40,"{'gatewayTimestamp': '2019-07-01T15:27:38.444628Z', 'softwareName': 'E:D Market Connector [Windows]', 'softwareVersion': '3.4.2.0', 'uploaderID': 'be796ff59afc53cf3b6c7b0083dabb2c51cb5f30'}","{'Atmosphere': '', 'AtmosphereType': 'None', 'AxialTilt': -0.258498, 'BodyID': 3, 'BodyName': 'Dryooe Prou LR-V c2-41 B 1', 'Composition': {'Ice': 0.0, 'Metal': 0.330579, 'Rock': 0.669421}, 'DistanceFromArrivalLS': 4196.922363, 'Eccentricity': 0.000103, 'Landable': True, 'MassEM': 0.262002, 'Materials': [{'Name': 'iron', 'Percent': 21.196085}, {'Name': 'nickel', 'Percent': 16.031832}, {'Name': 'sulphur', 'Percent': 14.95741}, {'Name': 'carbon', 'Percent': 12.577632}, {'Name': 'chromium', 'Percent': 9.532583}, {'Name': 'manganese', 'Percent': 8.753767}, {'Name': 'phosphorus', 'Percent': 8.052416}, {'Name': 'vanadium', 'Percent': 5.205021}, {'Name': 'molybdenum', 'Percent': 1.384092}, {'Name': 'tungsten', 'Percent': 1.163878}, {'Name': 'tellurium', 'Percent': 1.145289}], 'OrbitalInclination': -0.000388, 'OrbitalPeriod': 84774.578125, 'Parents': [{'Star': 2}, {'Null': 0}], 'Periapsis': 172.564392, 'PlanetClass': 'High metal content body', 'Radius': 4035494.0, 'RotationPeriod': 84775.546875, 'ScanType': 'Detailed', 'SemiMajorAxis': 1677404672.0, 'StarPos': [-9912.65625, -1102.71875, 20816.03125], 'StarSystem': 'Dryooe Prou LR-V c2-41', 'SurfaceGravity': 6.412397, 'SurfacePressure': 0.0, 'SurfaceTemperature': 611.283508, 'SystemAddress': 11337202836250, 'TerraformState': '', 'TidalLock': True, 'Volcanism': 'metallic magma volcanism', 'WasDiscovered': False, 'WasMapped': False, 'event': 'Scan', 'timestamp': '2019-07-01T15:27:37Z'}",https://eddn.edcd.io/schemas/journal/1
4,5_2019-07-01 17:27:40,"{'gatewayTimestamp': '2019-07-01T14:11:03.887674Z', 'softwareName': 'EDSM', 'softwareVersion': '1.0.1', 'uploaderID': 'f90cc946342043c6da68b9ed377adbecb735a3be'}","{'Atmosphere': '', 'AtmosphereType': 'None', 'AxialTilt': -0.358049, 'BodyID': 24, 'BodyName': 'Skaude QR-U b35-10 5 b', 'Composition': {'Ice': 0.825004, 'Metal': 0.015558, 'Rock': 0.159439}, 'DistanceFromArrivalLS': 4532.45166, 'Eccentricity': 0.000223, 'Landable': True, 'MassEM': 0.001007, 'Materials': [{'Name': 'sulphur', 'Percent': 26.940495}, {'Name': 'carbon', 'Percent': 22.654165}, {'Name': 'phosphorus', 'Percent': 14.503585}, {'Name': 'iron', 'Percent': 12.122712}, {'Name': 'nickel', 'Percent': 9.169111}, {'Name': 'manganese', 'Percent': 5.006557}, {'Name': 'selenium', 'Percent': 4.216415}, {'Name': 'vanadium', 'Percent': 2.976916}, {'Name': 'cadmium', 'Percent': 0.941384}, {'Name': 'ruthenium', 'Percent': 0.748655}, {'Name': 'tin', 'Percent': 0.719994}], 'OrbitalInclination': 0.004626, 'OrbitalPeriod': 189279.0625, 'Parents': [{'Planet': 20}, {'Star': 0}], 'Periapsis': 47.808777, 'PlanetClass': 'Icy body', 'Radius': 884622.6875, 'RotationPeriod': 177137.5625, 'ScanType': 'Detailed', 'SemiMajorAxis': 427314528, 'StarPos': [-4809.40625, -273.03125, 9942.1875], 'StarSystem': 'Skaude QR-U b35-10', 'SurfaceGravity': 0.512778, 'SurfacePressure': 0, 'SurfaceTemperature': 38.455986, 'SystemAddress': 22596493194545, 'TerraformState': '', 'TidalLock': True, 'Volcanism': 'major water geysers volcanism', 'WasDiscovered': False, 'WasMapped': False, 'event': 'Scan', 'timestamp': '2019-07-01T13:04:14Z'}",https://eddn.edcd.io/schemas/journal/1
5,2_2019-07-01 17:27:40,"{'gatewayTimestamp': '2019-07-01T14:11:02.533278Z', 'softwareName': 'EDSM', 'softwareVersion': '1.0.1', 'uploaderID': 'f90cc946342043c6da68b9ed377adbecb735a3be'}","{'Atmosphere': '', 'AtmosphereType': 'None', 'AxialTilt': -0.369357, 'BodyID': 23, 'BodyName': 'Skaude QR-U b35-10 5 a', 'Composition': {'Ice': 0.825004, 'Metal': 0.015558, 'Rock': 0.159439}, 'DistanceFromArrivalLS': 4533.291504, 'Eccentricity': 0.000197, 'Landable': True, 'MassEM': 0.001682, 'Materials': [{'Name': 'sulphur', 'Percent': 26.754114}, {'Name': 'carbon', 'Percent': 22.497438}, {'Name': 'phosphorus', 'Percent': 14.403246}, {'Name': 'iron', 'Percent': 12.038844}, {'Name': 'nickel', 'Percent': 9.105677}, {'Name': 'chromium', 'Percent': 5.414268}, {'Name': 'selenium', 'Percent': 4.187245}, {'Name': 'germanium', 'Percent': 3.479617}, {'Name': 'ruthenium', 'Percent': 0.743475}, {'Name': 'tin', 'Percent': 0.715012}, {'Name': 'tungsten', 'Percent': 0.661054}], 'OrbitalInclination': -0.025955, 'OrbitalPeriod': 111021.039063, 'Parents': [{'Planet': 20}, {'Star': 0}], 'Periapsis': 20.107492, 'PlanetClass': 'Icy body', 'Radius': 1048370.75, 'RotationPeriod': 100884.414063, 'ScanType': 'Detailed', 'SemiMajorAxis': 299421376, 'StarPos': [-4809.40625, -273.03125, 9942.1875], 'StarSystem': 'Skaude QR-U b35-10', 'SurfaceGravity': 0.609899, 'SurfacePressure': 0, 'SurfaceTemperature': 39.590458, 'SystemAddress': 22596493194545, 'TerraformState': '', 'TidalLock': True, 'Volcanism': 'major water geysers volcanism', 'WasDiscovered': False, 'WasMapped': False, 'event': 'Scan', 'timestamp': '2019-07-01T13:04:09Z'}",https://eddn.edcd.io/schemas/journal/1
6,6_2019-07-01 17:27:40,"{'gatewayTimestamp': '2019-07-01T14:11:03.901118Z', 'softwareName': 'E:D Market Connector [Windows]', 'softwareVersion': '3.4.2.0', 'uploaderID': '7d6237f766778fc0f72cfb10b0424d51f6da5be0'}","{'Atmosphere': '', 'AtmosphereType': 'None', 'AxialTilt': -1.950928, 'BodyID': 22, 'BodyName': 'Aeolus 2 c', 'Composition': {'Ice': 0.819697, 'Metal': 0.016343, 'Rock': 0.163961}, 'DistanceFromArrivalLS': 1460.364868, 'Eccentricity': 0.007548, 'Landable': True, 'MassEM': 0.003256, 'Materials': [{'Name': 'sulphur', 'Percent': 26.936272}, {'Name': 'carbon', 'Percent': 22.650614}, {'Name': 'phosphorus', 'Percent': 14.501312}, {'Name': 'iron', 'Percent': 12.281229}, {'Name': 'nickel', 'Percent': 9.289007}, {'Name': 'chromium', 'Percent': 5.523276}, {'Name': 'germanium', 'Percent': 3.540092}, {'Name': 'vanadium', 'Percent': 3.015842}, {'Name': 'niobium', 'Percent': 0.839356}, {'Name': 'antimony', 'Percent': 0.748638}, {'Name': 'tungsten', 'Percent': 0.674363}], 'OrbitalInclination': -0.196087, 'OrbitalPeriod': 1363471.0, 'Parents': [{'Planet': 17}, {'Null': 16}, {'Star': 0}], 'Periapsis': 273.733978, 'PlanetClass': 'Icy body', 'Radius': 1302299.75, 'RotationPeriod': -1363630.75, 'ScanType': 'Detailed', 'SemiMajorAxis': 1046615552.0, 'StarPos': [-43.28125, 37.28125, -31.53125], 'StarSystem': 'Aeolus', 'SurfaceGravity': 0.765117, 'SurfacePressure': 0.0, 'SurfaceTemperature': 88.780914, 'SystemAddress': 6131099407050, 'TerraformState': '', 'TidalLock': False, 'Volcanism': '', 'WasDiscovered': True, 'WasMapped': True, 'event': 'Scan', 'timestamp': '2019-07-01T14:11:02Z'}",https://eddn.edcd.io/schemas/journal/1
7,24_2019-07-01 17:27:40,"{'gatewayTimestamp': '2019-07-01T15:13:15.508797Z', 'softwareName': 'E:D Market Connector [Windows]', 'softwareVersion': '3.4.2.0', 'uploaderID': '50b635427b9efbd0861adac3304761da888c815b'}","{'Atmosphere': 'sulfur dioxide atmosphere', 'AtmosphereComposition': [{'Name': 'SulphurDioxide', 'Percent': 100.0}], 'AtmosphereType': 'SulphurDioxide', 'AxialTilt': -0.274437, 'BodyID': 6, 'BodyName': 'Bleae Eurl EL-P d5-270 A 3', 'Composition': {'Ice': 0.0, 'Metal': 0.329637, 'Rock': 0.670363}, 'DistanceFromArrivalLS': 489.933472, 'Eccentricity': 0.169093, 'Landable': False, 'MassEM': 0.316824, 'OrbitalInclination': 2.596782, 'OrbitalPeriod': 2184802.0, 'Parents': [{'Null': 4}, {'Star': 1}, {'Null': 0}], 'Periapsis': 72.825325, 'PlanetClass': 'High metal content body', 'Radius': 4282918.0, 'RotationPeriod': 2348279.0, 'ScanType': 'Detailed', 'SemiMajorAxis': 419251328.0, 'StarPos': [6848.75, -17.0, 4545.625], 'StarSystem': 'Bleae Eurl EL-P d5-270', 'SurfaceGravity': 6.88411, 'SurfacePressure': 63091.195313, 'SurfaceTemperature': 424.299286, 'SystemAddress': 9289049574195, 'TerraformState': '', 'TidalLock': True, 'Volcanism': '', 'WasDiscovered': False, 'WasMapped': False, 'event': 'Scan', 'timestamp': '2019-07-01T15:13:14Z'}",https://eddn.edcd.io/schemas/journal/1
8,34_2019-07-01 17:27:40,"{'gatewayTimestamp': '2019-07-01T15:27:38.576666Z', 'softwareName': 'EDDiscovery', 'softwareVersion': '10.6.0.0', 'uploaderID': '84166d643be2edca913a221651ce4488a8ccaa69'}","{'AbsoluteMagnitude': 4.823196, 'Age_MY': 3086, 'AxialTilt': 0.0, 'BodyID': 0, 'BodyName': 'Ploi Aec UT-I d9-9', 'DistanceFromArrivalLS': 0.0, 'Luminosity': 'VII', 'Radius': 10984.375, 'RotationPeriod': 1.697813, 'ScanType': 'AutoScan', 'StarPos': [7170.03125, 155.96875, 7449.40625], 'StarSystem': 'Ploi Aec UT-I d9-9', 'StarType': 'N', 'StellarMass': 0.761719, 'Subclass': 0, 'SurfaceTemperature': 9234508.0, 'SystemAddress': 321225002067, 'WasDiscovered': True, 'WasMapped': False, 'event': 'Scan', 'timestamp': '2019-07-01T15:27:38Z'}",https://eddn.edcd.io/schemas/journal/1
9,38_2019-07-01 17:27:40,"{'gatewayTimestamp': '2019-07-01T15:27:39.526750Z', 'softwareName': 'EDDiscovery', 'softwareVersion': '10.6.0.0', 'uploaderID': 'acc9677938da1d8473836041690f4e86fdca6b94'}","{'Atmosphere': '', 'AtmosphereType': 'None', 'AxialTilt': -0.328601, 'BodyID': 13, 'BodyName': 'HIP 79116 5 f', 'Composition': {'Ice': 0.0, 'Metal': 0.086805, 'Rock': 0.913195}, 'DistanceFromArrivalLS': 1628.933472, 'Eccentricity': 0.002957, 'Landable': True, 'MassEM': 0.001682, 'Materials': [{'Name': 'iron', 'Percent': 19.425568}, {'Name': 'sulphur', 'Percent': 19.274321}, {'Name': 'carbon', 'Percent': 16.207706}, {'Name': 'nickel', 'Percent': 14.692686}, {'Name': 'phosphorus', 'Percent': 10.376451}, {'Name': 'germanium', 'Percent': 5.669386}, {'Name': 'zinc', 'Percent': 5.279142}, {'Name': 'vanadium', 'Percent': 4.770244}, {'Name': 'cadmium', 'Percent': 1.508484}, {'Name': 'tellurium', 'Percent': 1.468382}, {'Name': 'niobium', 'Percent': 1.327634}], 'OrbitalInclination': -0.40122, 'OrbitalPeriod': 6724503.0, 'Parents': [{'Planet': 5}, {'Star': 0}], 'Periapsis': 297.648163, 'PlanetClass': 'Rocky body', 'Radius': 836381.5625, 'RotationPeriod': 376822.375, 'ScanType': 'Detailed', 'SemiMajorAxis': 4440623104.0, 'StarPos': [-206.34375, 231.84375, 70.1875], 'StarSystem': 'HIP 79116', 'SurfaceGravity': 0.95848, 'SurfacePressure': 0.0, 'SurfaceTemperature': 205.696884, 'SystemAddress': 594559420787, 'TerraformState': '', 'TidalLock': False, 'Volcanism': '', 'WasDiscovered': True, 'WasMapped': False, 'event': 'Scan', 'timestamp': '2019-07-01T15:27:37Z'}",https://eddn.edcd.io/schemas/journal/1
